Title,Genre,parent_genre_str,main_parent_genre,metadata,poster,year_premiere,IMDB Score,Runtime,runtime_normalized,primary_language_capitalized,Premiere,Director,Plot
under the riccione sun,romantic teenage drama,"drama, romance",drama,"movie title is under the riccione sun. genre is drama, romance. language is italian.",https://m.media-amazon.com/images/M/MV5BN2I1NGIyNzMtNDM2ZC00M2EwLWE5M2QtNWEwMzUzMDgxYjYzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.4,101,0.47317073170731705,Italian,"July 1, 2020",Younuts,"On holiday at Riccione beach, a group of teens get to know each other and help each other get through summer loves' heartache."
a very murray christmas,"comedy, musical","comedy, musical",comedy,"movie title is a very murray christmas. genre is comedy, musical. language is english.",https://m.media-amazon.com/images/M/MV5BMTY3MDI2NjAzMl5BMl5BanBnXkFtZTgwNDY4NDgyNzE@._V1_SX300.jpg,2015.0,5.5,56,0.25365853658536586,English,"December 4, 2015",Sofia Coppola,Bill Murray worries no one will show up to his TV show due to a terrible snowstorm in New York City.
been so long,musical,musical,musical,movie title is been so long. genre is musical. language is english.,https://m.media-amazon.com/images/M/MV5BMTk4NTI5MDQ0M15BMl5BanBnXkFtZTgwNDQyNDU0NjM@._V1_SX300.jpg,2018.0,5.5,100,0.46829268292682924,English,"October 26, 2018",Tinge,"A dedicated single mother who, on an unusual night on the town, is charmed by a handsome yet troubled stranger."
dead kids,thriller,thriller,thriller,movie title is dead kids. genre is thriller. language is filipino.,https://m.media-amazon.com/images/M/MV5BZWQ5YWU5NGItMGZlNC00N2RiLWI0OWYtYjM3YTdkOTI4OGY5XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.5,94,0.43902439024390244,Filipino,"December 1, 2019",Mikhail Red,A socially awkward teen bonds with a group of misfits who plot to abduct the schools arrogant rich kid until their kidnapping scheme turns deadly.
get the grift,comedy,comedy,comedy,movie title is get the grift. genre is comedy. language is portuguese.,https://m.media-amazon.com/images/M/MV5BNWZjNmJkYWMtYzNjNi00NjhmLWE1NjYtZjhiMTlhMjZjMjQ5XkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.5,94,0.43902439024390244,Portuguese,"April 28, 2021",Pedro Antonio,"After a botched scam, Clóvis bumps into Lohane, his estranged foster sister. In a bind, they soon realize the only way out is to band together."
house arrest,comedy,comedy,comedy,movie title is house arrest. genre is comedy. language is hindi.,https://m.media-amazon.com/images/M/MV5BMGYyZTY2MDMtNTQ2MC00Mzc5LTk2MDYtNGNhZTM1YTU3MWJiXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.5,104,0.4878048780487805,Hindi,"November 15, 2019",Harry Winer,"Desperate to keep their various parents from getting divorced, a group of teenagers kidnaps them and holds them prisoner in a basement to force them to reconcile."
kevin hart's guide to black history,variety show,other,other,movie title is kevin hart's guide to black history. genre is other. language is english.,https://m.media-amazon.com/images/M/MV5BYTRhMGYyZDQtM2Y5Ny00MDNkLTkwNDEtZjY1ZjUwZTBhNWI5XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.5,63,0.28780487804878047,English,"February 8, 2019",Tom Stern,Kevin Hart highlights the fascinating contributions of black history's unsung heroes in this entertaining and educational comedy special.
love wedding repeat,romantic comedy,"comedy, romance",comedy,"movie title is love wedding repeat. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BNjBkMzYxY2MtOTU4YS00ZjRmLWEzZTItNjVhZWYxOWQ4YjczXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.5,100,0.46829268292682924,English,"April 10, 2020",Dean Craig,"While trying to make his sister's wedding day go smoothly, Jack finds himself juggling an angry ex-girlfriend, an uninvited guest with a secret, a misplaced sleep sedative, and the girl who got away in alternate versions of the sa..."
mute,"science fiction, mystery","scifi, mystery",scifi,"movie title is mute. genre is scifi, mystery. language is english.",https://m.media-amazon.com/images/M/MV5BMjAwNTE3MjQ2M15BMl5BanBnXkFtZTgwNjgzNjk2NDM@._V1_SX300.jpg,2018.0,5.5,126,0.5951219512195122,English,"February 23, 2018",Duncan Jones,A mute bartender goes up against his city's gangsters in an effort to find out what happened to his missing partner.
red dot,thriller,thriller,thriller,movie title is red dot. genre is thriller. language is swedish.,https://m.media-amazon.com/images/M/MV5BNjlmMWRhNDEtNzg0OS00OGUwLThlYTItZGNjZjJhNzBlNTZiXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.5,86,0.39999999999999997,Swedish,"February 11, 2021",Alain Darborg,"When Nadja becomes pregnant, she and David make an attempt to rekindle their relationship by traveling to the north of Sweden for a hiking trip, but soon their romantic trip turns into a nightmare."
ride or die,psychological thriller drama,"drama, thriller",drama,"movie title is ride or die. genre is drama, thriller. language is japanese.",https://m.media-amazon.com/images/M/MV5BYjdlYzU5ODMtYjEwMy00OTU1LWIzMzItMTU5Nzk1MTU5N2RiXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.5,142,0.673170731707317,Japanese,"April 15, 2021",Ryûichi Hiroki,"Rei helps the woman she's been in love with for years escape her abusive husband. While on the run, their feelings for each other catch fire."
step sisters,comedy,comedy,comedy,movie title is step sisters. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMjI0ODYyOTI0NF5BMl5BanBnXkFtZTgwOTY5ODg0NDM@._V1_SX300.jpg,2018.0,5.5,108,0.5073170731707317,English,"January 19, 2018",Charles Stone III,"To get the college dean's backing for Harvard, Jamilah has to teach girls at a white sorority to step dance."
the cloverfield paradox,science fiction,scifi,scifi,movie title is the cloverfield paradox. genre is scifi. language is english.,https://m.media-amazon.com/images/M/MV5BMTAwOTIxMDA0MjZeQTJeQWpwZ15BbWU4MDg1MjgzNzQz._V1_SX300.jpg,2018.0,5.5,102,0.47804878048780486,English,"February 4, 2018",Julius Onah,"Orbiting a planet on the brink of war, scientists test a device to solve an energy crisis, and end up face-to-face with a dark alternate reality."
the knight before christmas,romantic comedy,"comedy, romance",comedy,"movie title is the knight before christmas. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BNzY0YThhNDktMDA4Mi00NzdjLWI3MmQtYzBlYTJmYzU5NDdmXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.5,92,0.4292682926829268,English,"November 21, 2019",Monika Mitchell,A medieval English knight is magically transported to present-day America where he falls for a high school science teacher who is disillusioned by love.
the legacy of a whitetail deer hunter,"adventure, comedy","comedy, adventure",comedy,"movie title is the legacy of a whitetail deer hunter. genre is comedy, adventure. language is english.",https://m.media-amazon.com/images/M/MV5BMjM3MjY1MzMzOF5BMl5BanBnXkFtZTgwOTI5MDU4NTM@._V1_SX300.jpg,2018.0,5.5,83,0.3853658536585366,English,"July 6, 2018",Jody Hill,The great hunter Buck Ferguson (Josh Brolin) and his trusted cameraman Don (Danny McBride) set out for an epic weekend adventure to reconnect with Buck's young son (Montana Jordan).
the package,black comedy,comedy,comedy,movie title is the package. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BYmFlMWIwZjQtN2NlZi00OTlkLTkwNTgtOGZmMTZjY2Y0ZjJjXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.5,94,0.43902439024390244,English,"August 10, 2018",Jake Szymanski,"When a group of teenage friends goes on a spring-break camping trip, an unfortunate accident sets off a race against time to save one friend's most prized possession."
unicorn store,comedy,comedy,comedy,movie title is unicorn store. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMjUyMTY2OTkwMF5BMl5BanBnXkFtZTgwODEyODA3NzM@._V1_SX300.jpg,2019.0,5.5,92,0.4292682926829268,English,"April 5, 2019",Brie Larson,"Kit, a twenty-something dreamer, receives an invitation that would fulfill her childhood dreams."
wine country,comedy,comedy,comedy,movie title is wine country. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BZmE5NWJkYzktZWVjMC00NjAxLWJiMzktMTRlNDQ3MDViZjZiXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.5,103,0.48292682926829267,English,"May 10, 2019",Amy Poehler,"During a vacation to Napa Valley, a group of long time friends reunite and revisit past choices in this hilarious and heartfelt comedy from director Amy Poehler."
bomb scared,black comedy,comedy,comedy,movie title is bomb scared. genre is comedy. language is spanish/basque.,https://m.media-amazon.com/images/M/MV5BZmM1NmRlNTUtYjJlOC00MjUzLWE2ZmMtZDY3Y2VlYTI5NWZlXkEyXkFqcGc@._V1_SX300.jpg,2017.0,5.6,89,0.4146341463414634,Spanish,"October 12, 2017",Borja Cobeaga,"Four Basque ETA terrorists, living together with peculiar Spanish neighbors, are planning a terrorist attack in Spain, but await instructions from the head of the organization."
brahman naman,comedy,comedy,comedy,movie title is brahman naman. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BMjkzN2E5ZDItNTQ5ZC00YTc0LWE4MzYtZjFhYmNhNWQ1NWYzXkEyXkFqcGc@._V1_SX300.jpg,2016.0,5.6,95,0.44390243902439025,English,"July 7, 2016",Qaushiq Mukherjee,"This homage to 1980s teen sex comedies follows a college quiz bowl champion who knows almost everything, except how to talk to women."
double dad,"comedy, drama","comedy, drama",comedy,"movie title is double dad. genre is comedy, drama. language is portuguese.",https://m.media-amazon.com/images/M/MV5BZDQ5OTY5ZTktNmNiZi00NzExLWEwZmMtZWRmYjdlOWRlZjkyXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.6,103,0.48292682926829267,Portuguese,"January 15, 2021",Cris D'Amato,"While her mom is away, a teen sneaks out of the hippie commune where she lives and embarks on a life-changing adventure to discover who her father is."
falling inn love,romantic comedy,"comedy, romance",comedy,"movie title is falling inn love. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BMTdjNmI4ODMtOGVhOC00NGYxLTk5YTEtN2Y4NjM3ZTliYWM4XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.6,97,0.4536585365853658,English,"August 29, 2019",Roger Kumble,"When city girl Gabriela spontaneously enters a contest and wins a rustic New Zealand inn, she teams up with bighearted contractor Jake Taylor to fix and flip it."
hold the dark,thriller,thriller,thriller,movie title is hold the dark. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BMjMwOTQ1MzM3M15BMl5BanBnXkFtZTgwODQyNDQxNjM@._V1_SX300.jpg,2018.0,5.6,125,0.5902439024390244,English,"September 28, 2018",Jeremy Saulnier,"After the deaths of three children suspected to be killed by wolves, writer Russell Core is hired by the mother of a missing six-year-old boy to track down and locate her son in the Alaskan wilderness."
"love, guaranteed",romantic comedy,"comedy, romance",comedy,"movie title is love, guaranteed. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BODE1MGQ3MGMtYTM1MC00NzZlLWIyNTItNGNjMGQ5NzY2Mzk0XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.6,91,0.424390243902439,English,"September 3, 2020",Mark Steven Johnson,"To save her small law firm, earnest lawyer Susan takes a high-paying case from Nick, a charming new client who wants to sue a dating website that guarantees love. But as the case heats up, so do Susan and Nick's feelings for each ..."
one-way to tomorrow,romance,romance,romance,movie title is one-way to tomorrow. genre is romance. language is turkish.,https://m.media-amazon.com/images/M/MV5BMDQzMmRmMzktY2NjZC00N2Q4LWJmN2QtNThhOThkYWJhYWQ1XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.6,90,0.4195121951219512,Turkish,"June 19, 2020",Ozan Açiktan,A romantic story of two strangers who come across each other on a journey from Ankara to Izmir.
sarah cooper: everything's fine,variety show,other,other,movie title is sarah cooper: everything's fine. genre is other. language is english.,https://m.media-amazon.com/images/M/MV5BM2RhZTIyYTUtMTdmNy00M2Q0LTk3MTktZDE2NDljNzQ2ZjUzXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.6,49,0.21951219512195122,English,"October 27, 2020",Natasha Lyonne,"A variety special full of issues of politics, race, gender and class. Sarah will also be joined by special guests."
the last laugh,"comedy, drama","comedy, drama",comedy,"movie title is the last laugh. genre is comedy, drama. language is english.",https://m.media-amazon.com/images/M/MV5BNjU5ODQ5YjMtMWRmMC00MmI0LTgyNjUtY2FhMDcwZTBmOGI0XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.6,98,0.4585365853658536,English,"January 11, 2019",F.W. Murnau,"An aging doorman is forced to face the scorn of his friends, neighbors and society after being fired from his prestigious job at a luxurious hotel."
the midnight sky,science fiction,scifi,scifi,movie title is the midnight sky. genre is scifi. language is english.,https://m.media-amazon.com/images/M/MV5BMTE2NzJiM2UtZGRiMy00M2Q2LWFmZTAtYmI0MzVmZThkYTFhXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.6,118,0.5560975609756097,English,"December 23, 2020",George Clooney,"This post-apocalyptic tale follows Augustine, a lonely scientist in the Arctic, as he races to stop Sully and her fellow astronauts from returning home to a mysterious global catastrophe."
the paramedic,thriller,thriller,thriller,movie title is the paramedic. genre is thriller. language is spanish.,https://m.media-amazon.com/images/M/MV5BNTM2ZWI1NWItNzZlYS00ZjJkLWI5OTMtMDM2YTg2NTIwYzQ4XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.6,94,0.43902439024390244,Spanish,"September 16, 2020",Carles Torras,"Angel works in an ambulance service. After a tragic accident, his personal life begins to deteriorate as he becomes more and more suspicious of his partner Vane."
the sleepover,comedy,comedy,comedy,movie title is the sleepover. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BYzdhMWIxOTctYjI2Yi00MzZmLTg4MzAtY2M5MDRkMGE0MmUxXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.6,103,0.48292682926829267,English,"August 21, 2020",Trish Sie,"When two siblings discover their seemingly normal mom is a former thief in witness protection who has been forced to pull one last job, they team up to rescue her over the course of an action-packed night."
vampires vs. the bronx,horror comedy,"comedy, horror",comedy,"movie title is vampires vs. the bronx. genre is comedy, horror. language is english.",https://m.media-amazon.com/images/M/MV5BY2QwYzBkZGEtMzkzOC00NWRhLTkxMjgtNGU5OTc2YmNjMTFkXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.6,86,0.39999999999999997,English,"October 2, 2020",Oz Rodriguez,A group of young friends from the Bronx fight to save their neighborhood from gentrification...and vampires.
why did you kill me?,documentary,documentary,documentary,movie title is why did you kill me?. genre is documentary. language is english.,https://m.media-amazon.com/images/M/MV5BMzQ3OTM0NmQtYmVkNi00Y2UwLWI2OGUtNDUyMmFiMTFmNmZhXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.6,83,0.3853658536585366,English,"April 14, 2021",Fredrick Munk,The line between justice and revenge blurs when a devastated family uses social media to track down the people who killed 24-year-old Crystal Theobald.
a week away,christian musical,musical,musical,movie title is a week away. genre is musical. language is english.,https://m.media-amazon.com/images/M/MV5BOTBhNmM2YzYtMmM0ZS00ZTFlLWFmOTktNDZkZmUwZjk5MTM2XkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.7,97,0.4536585365853658,English,"March 26, 2021",Roman White,"With nowhere left to go, Will Hawkins finds himself at camp for the first time. His instinct is to run, but he finds a friend, a father figure, and even a girl who awakens his heart. Most of all, he finally finds a home."
caught by a wave,romantic teen drama,"drama, romance",drama,"movie title is caught by a wave. genre is drama, romance. language is italian.",https://m.media-amazon.com/images/M/MV5BMDk5MDFiZmQtNjAzZS00NWY3LTkyM2YtOWM1MjY5ZDY0ZTViXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.7,99,0.46341463414634143,Italian,"March 25, 2021","Massimiliano Camaiti, Mimi Maynard",A summer adventure under the Sicilian sun soon becomes a painful love story
christmas inheritance,romantic drama,"drama, romance",drama,"movie title is christmas inheritance. genre is drama, romance. language is english.",https://m.media-amazon.com/images/M/MV5BYTdkYjE4MGMtYTliMS00ZTdhLTg3NmEtOWUyY2YzZjZiYTJiXkEyXkFqcGc@._V1_SX300.jpg,2017.0,5.7,104,0.4878048780487805,English,"December 15, 2017",Ernie Barbarash,"To be the CEO, an heiress is challenged by her dad to deliver a Christmas letter in person to his ex-partner in their hometown - traveling by bus, incognito and with only $100. Will she learn something from the people there?"
dad wanted,family,family,family,movie title is dad wanted. genre is family. language is spanish.,https://m.media-amazon.com/images/M/MV5BNzQ5ZThlNzItY2U3NC00NjllLWFjZWMtZWJlNjBiZTgwN2U5XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.7,102,0.47804878048780486,Spanish,"September 11, 2020","Javier Colinas, Valeria Zunzun","Blanca's mom stopped letting her ride her BMX bike after her dad died in an accident, so after reading about an upcoming BMX contest, she tries to enter it without her mom's knowledge. The only problem? A parent needs to sign her in."
el camino christmas,dark comedy,comedy,comedy,movie title is el camino christmas. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BODk3MzY0MDkyM15BMl5BanBnXkFtZTgwNzUxNzMyNDM@._V1_SX300.jpg,2017.0,5.7,89,0.4146341463414634,English,"December 8, 2017",David E. Talbert,"Eric comes to El Camino looking for his unknown dad. He's harassed, hit, and jailed by a drunk local cop who later shoots at a liquor mart with Eric inside. The sheriff and deputy then shoot up the place, answering each other's fire."
eli,horror,horror,horror,movie title is eli. genre is horror. language is english.,https://m.media-amazon.com/images/M/MV5BNzJmNjc2ODctNTc5NC00ZjJjLTg4MWEtMjE5ZDYxYjY5MmNmXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.7,98,0.4585365853658536,English,"October 18, 2019",Ciarán Foy,A boy receiving treatment for his auto-immune disorder discovers that the house he's living in isn't as safe as he thought.
ginny weds sunny,romantic comedy,"comedy, romance",comedy,"movie title is ginny weds sunny. genre is comedy, romance. language is hindi.",https://m.media-amazon.com/images/M/MV5BMTcxNTE3NzYtNjU0MS00MjBjLTg0OWMtMGVjYzA4OWU0NmRiXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.7,125,0.5902439024390244,Hindi,"October 9, 2020",Puneet Khanna,"The film follows headstrong Ginny who meets Sunny for an arranged marriage, but turns him down, and then shows how Sunny teams up with Ginny's mother to win her love."
good sam,drama,drama,drama,movie title is good sam. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BNzNlMDkxNzEtYzRiYS00ZTU1LWE2OGQtYjY5Y2I2MjNlYjk3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.7,89,0.4146341463414634,English,"May 16, 2019",Kate Melville,"When a mysterious good samaritan leaves $100,000 cash on seemingly random doorsteps, New York City news reporter Kate Bradley sets out to discover the true identity and motive of ""Good Sam."""
lionheart,comedy,comedy,comedy,movie title is lionheart. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BZDQwNjgxNmYtN2M3NS00YzhmLThiNjgtZDMzNmE4MTExNDBhXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.7,94,0.43902439024390244,English,"January 4, 2019",Sheldon Lettich,An Ex-French Soldier begins participating in underground street fights in order to make money for his brother's family.
little evil,comedy horror,"comedy, horror",comedy,"movie title is little evil. genre is comedy, horror. language is english.",https://m.media-amazon.com/images/M/MV5BMjQ0NTM2NzQ0Ml5BMl5BanBnXkFtZTgwMjc4MTAzMzI@._V1_SX300.jpg,2017.0,5.7,94,0.43902439024390244,English,"September 1, 2017",Eli Craig,"Gary, who has just married Samantha, the woman of his dreams, discovers that her six-year-old son may be the Antichrist."
one take,documentary,documentary,documentary,movie title is one take. genre is documentary. language is thai.,https://m.media-amazon.com/images/M/MV5BZTczZGM2MDAtMTYyYS00MzI4LTk5NWItM2NkYzk5ZDY0OWE4XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.7,85,0.39512195121951216,Thai,"June 18, 2020",Manatsanun Phanlerdwongsakul,Members of Thai girl group BNK48 share the ups and downs of preparing for the 6th Single Senbatsu General Election.
"out of many, one",documentary,documentary,documentary,"movie title is out of many, one. genre is documentary. language is english.",https://m.media-amazon.com/images/M/MV5BYmM1NzJkOGEtZjRiYi00NjFhLThlNWQtZjFjYmRlZjIzZjdhXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.7,34,0.14634146341463417,English,"December 12, 2018","John Hoffman, Nanfu Wang","The United States has long offered a promise of opportunity and safety to arriving immigrants - The American Dream. However, currently facing a time of deep political, social, and cultural divide, immigration has become a divisive..."
point blank,action,action,action,movie title is point blank. genre is action. language is english.,https://m.media-amazon.com/images/M/MV5BOTQzMmI2ZWEtOTE3Yy00M2U2LTk3NzctNGY0NjMwMTZhNWNlXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.7,86,0.39999999999999997,English,"July 12, 2019",John Boorman,"After being double-crossed and left for dead, a mysterious man named Walker single-mindedly tries to retrieve the money that was stolen from him."
prime time,thriller,thriller,thriller,movie title is prime time. genre is thriller. language is polish.,https://m.media-amazon.com/images/M/MV5BYWQyMWM2OTktODdkZC00MWI4LWIzMDYtNTUwMjQwNTBkZTIyXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.7,91,0.424390243902439,Polish,"April 14, 2021",Jakub Piatek,"On New Year's Eve 1999, an armed man enters a TV studio during a broadcast, takes the host hostage and makes one demand: to give a message live on air."
the do-over,action comedy,"comedy, action",comedy,"movie title is the do-over. genre is comedy, action. language is english.",https://m.media-amazon.com/images/M/MV5BMTYyNDY2NzAxNV5BMl5BanBnXkFtZTgwOTMxMzg2ODE@._V1_SX300.jpg,2016.0,5.7,108,0.5073170731707317,English,"May 27, 2016",Steven Brill,"Two down-on-their-luck guys decide to fake their own deaths and start over with new identities, only to find the people they're pretending to be are in even deeper trouble."
the holiday calendar,romantic comedy,"comedy, romance",comedy,"movie title is the holiday calendar. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BMDc2ZjU5ODctZDFkMi00ODc1LWFkNTctOGNhNTdiYWE3NGZiXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.7,95,0.44390243902439025,English,"November 2, 2018",Bradley Walsh,"A struggling but talented photographer inherits an antique holiday advent calendar, the contents of which seem to predict the future. Will this magical calendar lead her to love this holiday season?"
the woman in the window,psychological thriller,thriller,thriller,movie title is the woman in the window. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BODI1YzhlZTMtZDNkYy00NDdhLWJiMDctYjU4YjZiYTM2YzRkXkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.7,100,0.46829268292682924,English,"May 14, 2021",Joe Wright,"An agoraphobic woman living alone in New York begins spying on her new neighbors, only to witness a disturbing act of violence."
the wrong missy,comedy,comedy,comedy,movie title is the wrong missy. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BYzlhOGQ0YzEtNTgzOS00NGZjLWFkMmEtOGU1MWU0ZWEzOTZhXkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.7,90,0.4195121951219512,English,"May 13, 2020",Tyler Spindel,"Tim thinks he's invited the woman of his dreams on a work retreat to Hawaii, realizing too late he mistakenly texted someone from a nightmare blind date."
velvet buzzsaw,thriller,thriller,thriller,movie title is velvet buzzsaw. genre is thriller. language is english.,https://m.media-amazon.com/images/M/MV5BMjExMDQ1NjMzOV5BMl5BanBnXkFtZTgwMjkxMzMyNzM@._V1_SX300.jpg,2019.0,5.7,112,0.526829268292683,English,"February 1, 2019",Dan Gilroy,"A thriller about the contemporary art scene of Los Angeles, where big money artists and mega-collectors pay a high price when art collides with commerce."
yes day,comedy,comedy,comedy,movie title is yes day. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BNjNmYThjN2UtODc3YS00ZDMxLTk1OGItZmM2OTFiMzJiNDg2XkEyXkFqcGc@._V1_SX300.jpg,2021.0,5.7,86,0.39999999999999997,English,"March 12, 2021",Miguel Arteta,A mom and dad who usually say no decide to say yes to their kids' wildest requests with a few ground rules on a whirlwind day of fun and adventure.
15 august,"comedy, drama","comedy, drama",comedy,"movie title is 15 august. genre is comedy, drama. language is marathi.",https://m.media-amazon.com/images/M/MV5BZDliYTA2MzctNWZlMi00ZDljLWIwNDYtZGJlODhlZjgyODc3XkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.8,124,0.5853658536585366,Marathi,"March 29, 2019",Swapnaneel Jayakar,"On India's Independence Day, a zany mishap in a Mumbai chawl disrupts a young love story while compelling the residents to unite in aid of a little boy."
a california christmas,romantic comedy,"comedy, romance",comedy,"movie title is a california christmas. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BODQyZWU2ZGEtZGM4My00YWQ0LWEwN2MtYTMzYTVlNTc0ZmI1XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,107,0.5024390243902439,English,"December 14, 2020",Shaun Paul Piccinino,"With his carefree lifestyle on the line, a wealthy charmer poses as a ranch hand to get a hardworking farmer to sell her family's land before Christmas."
a christmas prince,romantic comedy,"comedy, romance",comedy,"movie title is a christmas prince. genre is comedy, romance. language is english.",https://m.media-amazon.com/images/M/MV5BZGNkZDMwZjItNWU0Ny00YjM5LTgxYWMtZDIyM2Y4NWQ2NDI4XkEyXkFqcGc@._V1_SX300.jpg,2017.0,5.8,92,0.4292682926829268,English,"November 17, 2017",Alex Zamm,"When a reporter goes undercover as a tutor to get the inside scoop on a playboy prince, she gets tangled in some royal intrigue and ends up finding love - but will she be able to keep up her lie?"
all day and a night,drama,drama,drama,movie title is all day and a night. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BMDE3MDU2OGUtZWQ1Yy00NzU3LWFlMjYtODkzZDM5MzgzYjk3XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,121,0.5707317073170731,English,"May 1, 2020",Joe Robert Cole,A young man who committed a homicide deals with the repercussions of his action.
american son,drama,drama,drama,movie title is american son. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BNjliYWUwMTQtODliYy00YmZmLWIwYWQtNWYwYWE4MzQ0OWNjXkEyXkFqcGc@._V1_SX300.jpg,2019.0,5.8,90,0.4195121951219512,English,"November 1, 2019",Kenny Leon,An estranged couple reunite in a Florida police station to help find their missing teenage son.
barry,biopic,drama,drama,movie title is barry. genre is drama. language is english.,https://m.media-amazon.com/images/M/MV5BYzdlYWZkNjQtMWYwNi00YjNkLTljYjgtZjRhMmQ2YTQ1MWQ0XkEyXkFqcGc@._V1_SX300.jpg,2016.0,5.8,104,0.4878048780487805,English,"December 16, 2016",,A hit man from the Midwest moves to Los Angeles and gets caught up in the city's theatre arts scene.
candy jar,comedy,comedy,comedy,movie title is candy jar. genre is comedy. language is english.,https://m.media-amazon.com/images/M/MV5BOGYzNDMwMmUtYTczNi00MGQ4LWI3YjktZmM1YzE1ZmQyZGRhXkEyXkFqcGc@._V1_SX300.jpg,2018.0,5.8,92,0.4292682926829268,English,"April 27, 2018",Ben Shelton,Dueling high school debate champs who are at odds on just about everything forge ahead with ambitious plans to get into the colleges of their dreams.
class of '83,drama,drama,drama,movie title is class of '83. genre is drama. language is hindi.,https://m.media-amazon.com/images/M/MV5BYTllY2RiOTItMDg1My00NzcyLTlmOGUtODI3OTkzZjc1N2U2XkEyXkFqcGc@._V1_SX300.jpg,2020.0,5.8,98,0.4585365853658536,Hindi,"August 21, 2020",Atul Sabharwal,The story of an upright policeman-turned-trainer whose wards deal with various complexities.
extinction,"science fiction, thriller","scifi, thriller",scifi,"movie title is extinction. genre is scifi, thriller. language is english.",https://m.media-amazon.com/images/M/MV5BMTU5OTYzMzcwOF5BMl5BanBnXkFtZTgwNTkzMzk4NTM@._V1_SX300.jpg,2018.0,5.8,95,0.44390243902439025,English,"July 27, 2018",Ben Young,"A father has a recurring dream of losing his family. His nightmare turns into reality when the planet is invaded by a force bent on destruction. Fighting for their lives, he comes to realize an unknown strength to keep them safe f..."
